seed,observer,phase,embed_lora_norm,embed_effective_rank,embed_significant_sv,embed_changed_fraction,embed_positive_fraction,embed_negative_fraction,policy_lora_norm,policy_effective_rank,policy_significant_sv,policy_changed_fraction,policy_positive_fraction,policy_negative_fraction,total_lora_norm
12796,O3,B,2.696672201156616,1.8628439903259277,2.0,0.6640625,0.3359375,0.328125,1.1800166368484497,1.0000008344650269,1.0,0.96875,0.484375,0.484375,2.9435489164832975
12796,O3,C,3.5380091667175293,2.117279291152954,3.0,0.75390625,0.3671875,0.38671875,1.5413479804992676,1.0000008344650269,1.0,0.96875,0.484375,0.484375,3.8591789879152323
12796,O4R,A,1.4042675495147705,1.3710085153579712,2.0,0.9775390625,0.494140625,0.4833984375,0.32120123505592346,1.0000011920928955,1.0,0.875,0.4375,0.4375,1.4405337844082897
12796,O4R,B,2.380476951599121,1.8766862154006958,2.0,0.6025390625,0.3056640625,0.296875,1.1929508447647095,1.0000003576278687,1.0,0.96875,0.484375,0.484375,2.6626682547999625
12796,O4R,C,1.7105690240859985,2.7122693061828613,3.0,0.80078125,0.3935546875,0.4072265625,0.39954501390457153,1.0000004768371582,1.0,0.96875,0.484375,0.484375,1.7566111135645617
12796,O4M,A,1.396949291229248,1.3732479810714722,2.0,0.962890625,0.48828125,0.474609375,0.41131120920181274,1.0000016689300537,1.0,1.0,0.5,0.5,1.4562431915998633
12796,O4M,B,2.3160276412963867,1.549944519996643,2.0,0.5029296875,0.2568359375,0.24609375,1.3052904605865479,1.000001072883606,1.0,0.96875,0.484375,0.484375,2.65852726556399
12796,O4M,C,1.8464406728744507,2.773893117904663,3.0,0.876953125,0.4443359375,0.4326171875,1.1832928657531738,1.0000016689300537,1.0,1.0,0.5,0.5,2.1930629641183157
12796,O4D,A,1.396949291229248,1.3732479810714722,2.0,0.962890625,0.48828125,0.474609375,0.41131120920181274,1.0000016689300537,1.0,1.0,0.5,0.5,1.4562431915998633
12796,O4D,B,2.3160276412963867,1.549944519996643,2.0,0.5029296875,0.2568359375,0.24609375,1.3052904605865479,1.000001072883606,1.0,0.96875,0.484375,0.484375,2.65852726556399
12796,O4D,C,1.8231879472732544,2.713444948196411,3.0,0.8818359375,0.443359375,0.4384765625,0.8303959965705872,1.0000016689300537,1.0,1.0,0.5,0.5,2.003390077394545
12849,O1,A,2.205655336380005,1.4752886295318604,2.0,0.9736328125,0.490234375,0.4833984375,0.9894793033599854,1.000135064125061,1.0,1.0,0.5,0.5,2.4174335057410277
12849,O1,B,8.745128631591797,1.162513017654419,1.0,0.884765625,0.4423828125,0.4423828125,0.05838209390640259,1.0188885927200317,1.0,0.9375,0.46875,0.46875,8.745323507565372
12849,O1,C,9.928954124450684,1.1458216905593872,1.0,0.8828125,0.4375,0.4453125,0.04788203164935112,1.0246766805648804,1.0,0.96875,0.484375,0.484375,9.929069578485242
12849,O3,A,1.5126243829727173,1.8154048919677734,2.0,0.830078125,0.4052734375,0.4248046875,0.3926559388637543,1.0000007152557373,1.0,0.90625,0.453125,0.453125,1.5627575660634538
12849,O3,B,1.787858009338379,2.3031675815582275,3.0,0.69140625,0.3408203125,0.3505859375,1.1592437028884888,1.0000004768371582,1.0,0.9375,0.46875,0.46875,2.1307938014369214
12849,O3,C,2.218071699142456,2.6992194652557373,3.0,0.8681640625,0.427734375,0.4404296875,1.6462504863739014,1.0000004768371582,1.0,0.96875,0.484375,0.484375,2.762242336657486
12849,O4R,A,1.5069583654403687,1.8173675537109375,2.0,0.8330078125,0.408203125,0.4248046875,0.39209017157554626,1.0000016689300537,1.0,0.90625,0.453125,0.453125,1.5571314067273991
12849,O4R,B,1.8916659355163574,2.2403297424316406,2.0,0.685546875,0.3369140625,0.3486328125,1.2321604490280151,1.0000004768371582,1.0,0.96875,0.484375,0.484375,2.257569353030355
12849,O4R,C,1.8552097082138062,2.8332786560058594,3.0,0.8564453125,0.4267578125,0.4296875,1.5818936824798584,1.0000004768371582,1.0,1.0,0.5,0.5,2.4380710990700094
12849,O4M,A,1.5132055282592773,1.8185443878173828,2.0,0.859375,0.419921875,0.439453125,0.4748644530773163,1.0000008344650269,1.0,1.0,0.5,0.5,1.585965705666695
12849,O4M,B,1.3318756818771362,1.7101376056671143,3.0,0.486328125,0.2431640625,0.2431640625,1.2525572776794434,1.0000004768371582,1.0,1.0,0.5,0.5,1.8283305406417694
12849,O4M,C,2.2768430709838867,2.226334571838379,3.0,0.931640625,0.46875,0.462890625,1.3968777656555176,1.0000007152557373,1.0,0.96875,0.484375,0.484375,2.6711948379087
12849,O4D,A,1.5132055282592773,1.8185443878173828,2.0,0.859375,0.419921875,0.439453125,0.4748644530773163,1.0000008344650269,1.0,1.0,0.5,0.5,1.585965705666695
12849,O4D,B,1.3318756818771362,1.7101376056671143,3.0,0.486328125,0.2431640625,0.2431640625,1.2525572776794434,1.0000004768371582,1.0,1.0,0.5,0.5,1.8283305406417694
12849,O4D,C,2.3335392475128174,2.181926727294922,3.0,0.92578125,0.46875,0.45703125,1.379258155822754,1.0000007152557373,1.0,1.0,0.5,0.5,2.7106749122840736
12902,O1,A,2.3535244464874268,1.8839638233184814,2.0,0.9658203125,0.482421875,0.4833984375,0.9415479898452759,1.0004512071609497,1.0,1.0,0.5,0.5,2.534874738008888
12902,O1,B,17.41165542602539,1.1573694944381714,1.0,0.86328125,0.431640625,0.431640625,1.1363214254379272,1.001120924949646,1.0,1.0,0.5,0.5,17.44869539697879
12902,O1,C,11.400501251220703,1.2211873531341553,1.0,0.8916015625,0.4482421875,0.443359375,1.3375059366226196,1.001584768295288,1.0,0.96875,0.484375,0.484375,11.478691167096777
12902,O3,A,1.1147799491882324,1.4927717447280884,2.0,0.908203125,0.4658203125,0.4423828125,0.274804949760437,1.0000008344650269,1.0,0.90625,0.453125,0.453125,1.1481515995394311
12902,O3,B,0.8092191219329834,2.463207721710205,3.0,0.7705078125,0.3916015625,0.37890625,1.1570403575897217,1.0000007152557373,1.0,1.0,0.5,0.5,1.4119412085470626
12902,O3,C,4.410854339599609,1.8809871673583984,3.0,0.8076171875,0.4111328125,0.396484375,1.6309350728988647,1.0000003576278687,1.0,1.0,0.5,0.5,4.702721043946402
